area,recommendation,why
reuse,Reuse existing .thoth.yaml discovery helpers (discover_meta_files helpers),Preserves gitignore/symlink behavior and deterministic traversal already used by pipeline/validate flows.
reuse,Reuse existing YAML parsing/validation helpers for sidecar schema checks,Avoids divergent parser behavior and keeps locator/meta validation consistent.
matching,Stringify meta to stable JSON then lowercase for case-insensitive substring matching,Simple deterministic whole-meta matching aligned with spec and easy to test.
projection,Apply --fields projection after a record matches,Keeps matching semantics independent from output-shape decisions.
ordering,Collect all matches then sort by locator ascending before output,Ensures deterministic output regardless of worker scheduling.
parallelism,Parse and match files in parallel with bounded worker pool (respecting existing workers defaults),Improves performance on large repos while controlling resource usage.
parallelism,Keep final aggregation/sort single-threaded after worker phase,Simplifies determinism and output consistency.
errors,Use fail-fast behavior for invalid root unreadable file or invalid YAML,Matches search spec and avoids partial/ambiguous outputs.
io,Support stdout by default and atomic file write for --out,Prevents partial output files and keeps CLI-friendly defaults.
testing,Add tests for deterministic ordering projection behavior and case-insensitive matching,Covers main correctness risks and prevents regressions.
